species,height,width,weight,mp_ingested_adjusted
white,147.6,175.3,68.4,0
white,145.3,178,64.4,0
white,156,186.3,73.2,3.333
white,164.5,190,79.6,59.333
white,159.5,191,74.8,42.333
white,162,184.5,71.2,0
white,159.4,189.7,76.5,0
white,161,193.3,78,0
white,156.5,181.5,69,0
white,161.8,194.6,79.8,0
white,159.9,189.3,79,0
white,155.1,188.5,78.1,0.333
white,155,187.3,71,0
white,150.7,179,64.6,8.333
white,159,181.2,68.8,0
white,159,190.7,78.7,0
white,154.7,185.5,49.8,0
white,153.7,183.3,66.4,29.333
white,151.7,180,84.9,1.333
white,155,189,71.4,22.333
white,159.6,191.2,70.8,41.333
white,160.6,183.2,66.3,0
white,157,187.5,74.7,0
white,161.3,192.4,70.3,14.333
white,151.9,183.5,68.6,15.333
white,115.5,146,35.7,0
white,125,158.5,42.1,13.333
white,152,189.4,76.6,0
white,170.2,186.7,74.2,5.333
lala,125.1,158.4,46.1,0
lala,135,168.9,49,0
lala,132.3,165.4,43.4,0.333
lala,121.5,154.7,38.4,0
lala,132.2,168.1,47.3,0
lala,123.5,157,40.3,0
lala,132.5,163,72,0
lala,132.2,165.7,49.1,21.333
lala,128.5,163.5,44.3,0
lala,130,164.9,47,0
lala,134.7,156.7,42.5,0
lala,130.7,164.9,50.9,0
lala,128.7,165.5,48.2,0
lala,131,166.5,48,0
lala,116.8,148.4,37.6,45.333
lala,125.5,158.3,42.9,31.333
lala,136.5,149.5,45.2,13.333
lala,143.4,172.4,55,0
lala,134.6,169.5,57.8,0
